"hoofdgroep","id_nummer","omschrijving","kind_van","status","discipline","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","element","vrkl_kort"
"AL","","TEKENBLAD","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","VERWIJZING","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","ORIENTATIE","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","AANKLEDING","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_SCHAALBALK","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","COORDINAATPUNT","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","PROFIELBALK","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","REFERENTIE","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","BLADVERWIJZING","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLADGRENS","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","LEGENDA","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_KADER","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_VIEWPORT","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_DEELKADER","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_TITELBLOK","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_WIJZIGINGSBLOK","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_SITUATIE","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_VERKLARING","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_WERKZAAMHEDEN","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","VERWIJZING_DETAIL","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","VERWIJZING_WIJZIGING","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","VERWIJZING_DOORSNEDE","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","VERWIJZING_AANZICHT","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","BLADVERWIJZING_BLAD","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","BLADVERWIJZING_KAART","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","BLADVERWIJZING_AS","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","BLADVERWIJZING_CONTOUR","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","BLADVERWIJZING_DTM","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_KADER_AFSNIJMARKERING","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_KADER_ROOSTERVERDELING","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_KADER_CENTERMARKERING","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_KADER_VOUWMERK","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_TITELBLOK_BEDRIJFSLOGO","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_WERKZAAMHEDEN_NUMMER","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_WERKZAAMHEDEN_LIJN","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL","","TEKENBLAD_WERKZAAMHEDEN_LIJST","","X","XX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""