objectURI;hoofdgroepURI;hoofdgroep;id_nummer;omschrijving;kind_vanURI;kind_van;status;discipline;lw_bURI;lw_b;kl_bURI;kl_b;kl_b_aURI;kl_b_a;kl_b_gdURI;kl_b_gd;kl_b_gnURI;kl_b_gn;kl_b_vURI;kl_b_v;lt_bURI;lt_b;lw_nURI;lw_n;kl_nURI;kl_n;kl_n_aURI;kl_n_a;kl_n_gdURI;kl_n_gd;kl_n_gnURI;kl_n_gn;kl_n_vURI;kl_n_v;lt_nURI;lt_n;lw_tURI;lw_t;kl_tURI;kl_t;kl_t_aURI;kl_t_a;kl_t_gdURI;kl_t_gd;kl_t_gnURI;kl_t_gn;kl_t_vURI;kl_t_v;lt_tURI;lt_t;lw_vURI;lw_v;kl_vURI;kl_v;kl_v_aURI;kl_v_a;kl_v_gdURI;kl_v_gd;kl_v_gnURI;kl_v_gn;kl_v_vURI;kl_v_v;lt_vURI;lt_v;element;sobjectURI;sobject;aobjectURI;aobject;vrkl_kort
http://digitalbuildingdata.tech/nlcs/def/d7424c0f-a027-451f-b6b2-26fc04374b9d;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;20;TEKENBLAD_SCHAALBALK;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;12;X;XX;http://digitalbuildingdata.tech/nlcs/def/bacc787a-3288-4f27-a233-6a58ce3d5c65;0.18;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G/S;http://digitalbuildingdata.tech/nlcs/def/4eec67be-fbcc-417d-a17f-c0c911fd9b46;SAL-SCHAALBALK;http://digitalbuildingdata.tech/nlcs/def/4eec67be-fbcc-417d-a17f-c0c911fd9b46;SAL-SCHAALBALK;
http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;12;TEKENBLAD;;;X;XX;http://digitalbuildingdata.tech/nlcs/def/f14aa137-98dc-41ad-8dc5-fad94cb489e4;0.25;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;http://digitalbuildingdata.tech/nlcs/def/2b57f0b7-f05f-40c5-9d74-61aeda3e34bd;SAL-TEKENBLAD;http://digitalbuildingdata.tech/nlcs/def/2b57f0b7-f05f-40c5-9d74-61aeda3e34bd;SAL-TEKENBLAD;
http://digitalbuildingdata.tech/nlcs/def/5bd4b95a-dc71-42af-b5cf-c2d7449f9760;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;3364;COORDINAATPUNT;;;X;XX;http://digitalbuildingdata.tech/nlcs/def/f14aa137-98dc-41ad-8dc5-fad94cb489e4;0.25;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G/S;http://digitalbuildingdata.tech/nlcs/def/725e9716-6c6a-48a3-b51f-1273ce320c24;SAL-COORDINAAT;http://digitalbuildingdata.tech/nlcs/def/725e9716-6c6a-48a3-b51f-1273ce320c24;SAL-COORDINAAT;
http://digitalbuildingdata.tech/nlcs/def/cbc84760-0b9a-4205-93b3-ae4b8279cd08;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;27;VERWIJZING;;;X;XX;http://digitalbuildingdata.tech/nlcs/def/bacc787a-3288-4f27-a233-6a58ce3d5c65;0.18;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G/S;http://digitalbuildingdata.tech/nlcs/def/2c303dce-15b0-4716-a44d-5852e66b975b;SAL-VERWIJZING;http://digitalbuildingdata.tech/nlcs/def/2c303dce-15b0-4716-a44d-5852e66b975b;SAL-VERWIJZING;
http://digitalbuildingdata.tech/nlcs/def/e5aa0262-49bc-4a8b-9dc4-81debfa37345;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;10;ORIENTATIE;;;X;XX;http://digitalbuildingdata.tech/nlcs/def/bacc787a-3288-4f27-a233-6a58ce3d5c65;0.18;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;http://digitalbuildingdata.tech/nlcs/def/9e68aa64-1710-4928-92fd-20f683a2b18b;SAL-ORIENTATIE;http://digitalbuildingdata.tech/nlcs/def/9e68aa64-1710-4928-92fd-20f683a2b18b;SAL-ORIENTATIE;
http://digitalbuildingdata.tech/nlcs/def/a9622d0d-facb-411a-987b-f6adf25910f4;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;1;AANKLEDING;;;X;XX;http://digitalbuildingdata.tech/nlcs/def/fa7f8757-afa0-4bbc-b556-734091491e54;0.35;http://digitalbuildingdata.tech/nlcs/def/af48781d-0a36-4244-88ff-cb86c15b5313;2;http://digitalbuildingdata.tech/nlcs/def/af48781d-0a36-4244-88ff-cb86c15b5313;2;http://digitalbuildingdata.tech/nlcs/def/af48781d-0a36-4244-88ff-cb86c15b5313;2;http://digitalbuildingdata.tech/nlcs/def/af48781d-0a36-4244-88ff-cb86c15b5313;2;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G/S;http://digitalbuildingdata.tech/nlcs/def/5a3e96c4-acf5-4a85-a283-3d0a070fb7f1;SAL-AANKLEDING;http://digitalbuildingdata.tech/nlcs/def/5a3e96c4-acf5-4a85-a283-3d0a070fb7f1;SAL-AANKLEDING;
http://digitalbuildingdata.tech/nlcs/def/7158aa53-1b03-40c5-bf95-8d31e2c72624;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;15;TEKENBLAD_KADER;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;12;X;XX;http://digitalbuildingdata.tech/nlcs/def/0ed07195-cd00-494b-b858-f267996e8f29;0.7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;
http://digitalbuildingdata.tech/nlcs/def/3455519b-0969-441e-9066-defcb5245141;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;25;TEKENBLAD_VIEWPORT;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;12;X;XX;http://digitalbuildingdata.tech/nlcs/def/bacc787a-3288-4f27-a233-6a58ce3d5c65;0.18;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;
http://digitalbuildingdata.tech/nlcs/def/a394f60d-1d36-4b97-80db-a568211f2980;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;13;TEKENBLAD_DEELKADER;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;12;X;XX;http://digitalbuildingdata.tech/nlcs/def/bacc787a-3288-4f27-a233-6a58ce3d5c65;0.18;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;
http://digitalbuildingdata.tech/nlcs/def/b587d613-cd7c-4348-a3b4-24538c0cb9f2;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;22;TEKENBLAD_TITELBLOK;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;12;X;XX;http://digitalbuildingdata.tech/nlcs/def/f14aa137-98dc-41ad-8dc5-fad94cb489e4;0.25;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;
http://digitalbuildingdata.tech/nlcs/def/1f26db84-c369-43cd-bc64-5af1eef71e7d;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;26;TEKENBLAD_WIJZIGINGSBLOK;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;12;X;XX;http://digitalbuildingdata.tech/nlcs/def/f14aa137-98dc-41ad-8dc5-fad94cb489e4;0.25;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;
http://digitalbuildingdata.tech/nlcs/def/afa7666b-1c23-4d4e-a6ca-f8a9d64324dc;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;21;TEKENBLAD_SITUATIE;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;12;X;XX;http://digitalbuildingdata.tech/nlcs/def/bacc787a-3288-4f27-a233-6a58ce3d5c65;0.18;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;
http://digitalbuildingdata.tech/nlcs/def/65dac3f7-5b5d-42b4-a3bb-0762970d45bd;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;14;TEKENBLAD_HULPLIJN;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;12;X;XX;http://digitalbuildingdata.tech/nlcs/def/bacc787a-3288-4f27-a233-6a58ce3d5c65;0.18;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;
http://digitalbuildingdata.tech/nlcs/def/836a066d-0781-4ce6-a760-4566c5dbfa5d;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;24;TEKENBLAD_VERKLARING;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;12;X;XX;http://digitalbuildingdata.tech/nlcs/def/bacc787a-3288-4f27-a233-6a58ce3d5c65;0.18;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;
http://digitalbuildingdata.tech/nlcs/def/e982babe-06cc-4800-b3e9-7e44471737bd;http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60;AL;29;VERWIJZING_DETAIL;http://digitalbuildingdata.tech/nlcs/def/cbc84760-0b9a-4205-93b3-ae4b8279cd08;27;X;XX;http://digitalbuildingdata.tech/nlcs/def/fa7f8757-afa0-4bbc-b556-734091491e54;0.35;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea;7;http://digitalbuildingdata.tech/nlcs/def/50f7e6bd-88c4-4cb6-a60b-64408590c6a3;253;http://digitalbuildingdata.tech/nlcs/def/1383ab09-d2d8-40b7-8bbb-1a7041cad464;AL-DETAILS-SO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;G;;;;;
